#	week	day	japanese	pronounciation	translation	1d	2d	6d	12d	30d	100d	Last studied	Correct_Streak
175	3	4	起こる	okoru	happen	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
176	3	4	秋	aki	autumn, fall	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
177	3	4	送る	okuru	send	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
178	3	4	死ぬ	shinu	die	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
179	3	4	気持ち	kimochi	feeling, sensation	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
180	3	4	乗る	noru	ride, take	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
182	3	5	木	ki	tree, wood	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
183	3	5	開ける	akeru	open, unlock (doors, windows, etc.)	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
184	3	5	閉める	shimeru	shut, close (doors, windows, etc.)	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
185	3	5	続く	tsuzuku	continue, follow	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
186	3	5	お医者さん	oishasan	doctor (polite)	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
189	3	5	待つ	matsu	wait, wait for	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
190	3	5	低い	hikui	low, short	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
191	3	6	もらう	morau	receive	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
192	3	6	食べる	taberu	eat	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
194	3	6	名前	namae	name	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
195	3	6	夫	otto	husband	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
197	3	6	結婚	kekkon	marriage	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
198	3	6	親	oya	parent	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
200	3	6	少し	sukoshi	a bit, a little while	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
201	3	7	閉じる	tojiru	shut, close (books, eyes, etc.)	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
202	3	7	時	toki	time, moment	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
203	3	7	米	kome	rice (grain)	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
204	3	7	切る	kiru	cut	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
205	3	7	楽しい	tanoshii	fun, enjoyable	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
206	3	7	服	fuku	clothes (colloquial)	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
207	3	7	後ろ	ushiro	back, behind	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
208	3	7	嬉しい	ureshii	happy, glad	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	5
209	3	7	腰	koshi	waist, lower back	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
210	3	7	日曜日	nichiyoubi	Sunday	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
211	4	1	昼	hiru	daytime, midday	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
213	4	1	大学生	daigakusei	university student	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
214	4	1	終わり	owari	end, conclusion	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
215	4	1	背	se	height, stature	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
216	4	1	手伝う	tetsudau	help, assist	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
217	4	1	鼻	hana	nose	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
218	4	1	起きる	okiru	occur, happen, wake up, get up	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
